city,primary_category,secondary_category,shop_name,avg_price,review_count,rating
深圳市,美食,小吃快餐,文记虾一跳(福田首店),130,9766,4.5
深圳市,美食,小吃快餐,潮香四海·家传潮汕菜(南山店),94,15434,4.0
深圳市,美食,小吃快餐,肉賊黑金热卤面馆,23,289,4.0
深圳市,美食,小吃快餐,文记虾一跳•铭副琦食(深圳北站店),129,6157,4.5
深圳市,美食,小吃快餐,荔园小馆,30,1916,4.0
深圳市,美食,小吃快餐,文记虾一跳(深圳龙华店),133,4986,4.5
深圳市,美食,小吃快餐,萍姨抻面馆·沈阳小炒·烧烤(南油店),35,572,3.5
深圳市,美食,小吃快餐,胖明粉馆(南山店),36,6508,4.0
深圳市,美食,小吃快餐,荔芳传统糖水铺,23,3482,4.0
深圳市,美食,小吃快餐,潮香园超级大排档(龙华店),96,1819,4.0
深圳市,美食,小吃快餐,丰味川渝面馆·耙蹄花汤,35,1739,4.0
深圳市,美食,小吃快餐,海云台韩式汤饭·13年匠心韩料(南山店),60,4810,4.0
深圳市,美食,小吃快餐,昌记隆江猪脚饭(白石龙店),27,2069,4.0
深圳市,美食,小吃快餐,今夜大排檔(卓悦INTOWN店),259,1156,4.0
深圳市,美食,小吃快餐,泓松京都日本料理(K11 ECOAST 店),185,438,4.0
深圳市,美食,小吃快餐,嘉华小吃(蛇口市场店),32,5605,4.0
深圳市,美食,小吃快餐,胖大碗云南小锅米线(深圳首店),32,1593,4.0
深圳市,美食,小吃快餐,Hollow Curry空洞造咖 香料咖喱(南山店),54,348,4.0
深圳市,美食,小吃快餐,姊妹豆花(南海明珠店),22,2728,4.0
深圳市,美食,小吃快餐,牛巷番薯粥,56,6382,4.0
深圳市,美食,小吃快餐,丘阿婆·顺德铺子(皇庭广场店),49,323,4.0
深圳市,美食,小吃快餐,哥二·广西米粉(南山店),34,3109,4.0
深圳市,美食,小吃快餐,春熙桥·砂锅食堂(大悦城店),39,1034,4.0
深圳市,美食,小吃快餐,宁夏招待所食堂(长城花园店),98,1678,4.0
深圳市,美食,小吃快餐,南·潮之南美食(南山店),75,2933,4.5
深圳市,美食,小吃快餐,串殿·纯真东北串(皇庭广场店),89,7297,4.0
深圳市,美食,小吃快餐,白杨包子(深圳首店),26,1171,4.0
深圳市,美食,小吃快餐,大二街粉店·广西大排档(民治店),39,1184,4.0
深圳市,美食,小吃快餐,CURRY YA 熟成咖哩專門店(COCO Park店),90,2009,4.0
深圳市,美食,小吃快餐,香火肥肠·重庆江湖菜·大排档(福田店),69,8757,4.5
