city,primary_category,secondary_category,shop_name,avg_price,review_count,rating
深圳市,美食,小吃快餐,文记虾一跳(福田首店),130,9766,4.5
深圳市,美食,小吃快餐,潮香四海·家传潮汕菜(南山店),94,15434,4.0
深圳市,美食,小吃快餐,肉賊黑金热卤面馆,23,289,4.0
深圳市,美食,小吃快餐,文记虾一跳•铭副琦食(深圳北站店),129,6157,4.5
深圳市,美食,小吃快餐,荔园小馆,30,1916,4.0
深圳市,美食,小吃快餐,文记虾一跳(深圳龙华店),133,4986,4.5
深圳市,美食,小吃快餐,萍姨抻面馆·沈阳小炒·烧烤(南油店),35,572,3.5
深圳市,美食,小吃快餐,胖明粉馆(南山店),36,6508,4.0
深圳市,美食,小吃快餐,荔芳传统糖水铺,23,3482,4.0
深圳市,美食,小吃快餐,潮香园超级大排档(龙华店),96,1819,4.0
深圳市,美食,小吃快餐,丰味川渝面馆·耙蹄花汤,35,1739,4.0
深圳市,美食,小吃快餐,海云台韩式汤饭·13年匠心韩料(南山店),60,4810,4.0
深圳市,美食,小吃快餐,昌记隆江猪脚饭(白石龙店),27,2069,4.0
深圳市,美食,小吃快餐,今夜大排檔(卓悦INTOWN店),259,1156,4.0
深圳市,美食,小吃快餐,泓松京都日本料理(K11 ECOAST 店),185,438,4.0
深圳市,美食,小吃快餐,嘉华小吃(蛇口市场店),32,5605,4.0
深圳市,美食,小吃快餐,胖大碗云南小锅米线(深圳首店),32,1593,4.0
深圳市,美食,小吃快餐,Hollow Curry空洞造咖 香料咖喱(南山店),54,348,4.0
深圳市,美食,小吃快餐,姊妹豆花(南海明珠店),22,2728,4.0
深圳市,美食,小吃快餐,牛巷番薯粥,56,6382,4.0
深圳市,美食,小吃快餐,丘阿婆·顺德铺子(皇庭广场店),49,323,4.0
深圳市,美食,小吃快餐,哥二·广西米粉(南山店),34,3109,4.0
深圳市,美食,小吃快餐,春熙桥·砂锅食堂(大悦城店),39,1034,4.0
深圳市,美食,小吃快餐,宁夏招待所食堂(长城花园店),98,1678,4.0
深圳市,美食,小吃快餐,南·潮之南美食(南山店),75,2933,4.5
深圳市,美食,小吃快餐,串殿·纯真东北串(皇庭广场店),89,7297,4.0
深圳市,美食,小吃快餐,白杨包子(深圳首店),26,1171,4.0
深圳市,美食,小吃快餐,大二街粉店·广西大排档(民治店),39,1184,4.0
深圳市,美食,小吃快餐,CURRY YA 熟成咖哩專門店(COCO Park店),90,2009,4.0
深圳市,美食,小吃快餐,香火肥肠·重庆江湖菜·大排档(福田店),69,8757,4.5
深圳市,美食,粤菜,唐合興·香港飯店(万象天地店),138,8775,4.0
深圳市,美食,粤菜,星龙吟·日料放题(福田店),280,27016,4.0
深圳市,美食,粤菜,小炳胜(卓悦中心店),115,11040,4.0
深圳市,美食,粤菜,大鸽饭(福田COCO Park店),124,7455,4.5
深圳市,美食,粤菜,蘩楼(华强北总店),95,34520,4.5
深圳市,美食,粤菜,蘩楼(南山宝能太古城店),85,488,4.0
深圳市,美食,粤菜,徐记海鲜(车公庙NEO店),161,7009,4.5
深圳市,美食,粤菜,满陇山房·膏蟹年糕馆(平安金融中心店),175,2628,4.5
深圳市,美食,粤菜,三出山火锅(卓悦中心店),141,3971,5.0
深圳市,美食,粤菜,晓芙荔·广府煲汤·瓦缸烧腊,104,959,4.0
深圳市,美食,粤菜,潮香四海·家传潮汕菜(南山店),94,15434,4.0
深圳市,美食,粤菜,一樓半 KNOCK CUP(卓悦中心店),154,7786,4.5
深圳市,美食,粤菜,炳胜品味(卓悦中心店),172,4386,4.0
深圳市,美食,粤菜,稻香(宝安中心店),105,15601,4.0
深圳市,美食,粤菜,炳胜品味(深圳湾万象城店),180,6184,4.0
深圳市,美食,粤菜,烧鹅佬·脆皮烧鹅(OneAvenue卓悦中心店),101,3721,4.0
深圳市,美食,粤菜,六个大厨·秘制粤菜(前海壹方城店),124,1926,4.5
深圳市,美食,粤菜,金牌陶陶居(万象天地店),120,13864,4.0
深圳市,美食,粤菜,巡味顺德菜(欢乐海岸购物中心店),109,11805,4.5
深圳市,美食,粤菜,鴻發飯店.傳統廣府味,98,2180,4.0
深圳市,美食,粤菜,悦满楼·西关名点·湛江名菜(航空综合大厦店),93,9043,4.5
深圳市,美食,粤菜,南乡·精功顺德菜(卓悦中心店),135,9803,4.5
深圳市,美食,粤菜,利苑酒家(罗湖万象城店),319,6560,4.5
深圳市,美食,粤菜,海门鱼仔·潮汕味(COCOPark店),121,8469,4.5
深圳市,美食,粤菜,炳胜私厨(万象前海店),392,1738,4.0
深圳市,美食,粤菜,小煵记·深圳本地菜(南新店),119,10809,4.0
深圳市,美食,粤菜,锦堂春想·广府粤菜(深圳湾店),190,1864,5.0
深圳市,美食,粤菜,膳九爷·名师潮菜(深业上城店),117,6856,4.0
深圳市,美食,粤菜,隐厨·中国菜馆(深圳卓悦中心店),143,10698,4.0
深圳市,美食,粤菜,谭厨中山传家菜(福田COCO Park店),124,719,4.0
