city,primary_category,secondary_category,shop_name,avg_price
深圳,美食,家常菜,小湘厨家常下饭菜,22
深圳,美食,家常菜,四川家常菜,35
深圳,美食,家常菜,小娟家常菜(饺子·砂锅·肉饼),51
深圳,美食,家常菜,捞喜·风味馆,53
深圳,美食,家常菜,张大厨·鸡煲王(新圳东路店),69
深圳,美食,家常菜,湘赣家常菜,51
深圳,美食,家常菜,豫香园,29
深圳,美食,家常菜,邵阳私房菜(廷苑公寓店),68
深圳,美食,家常菜,巷子口家常菜,20
深圳,美食,家常菜,家常菜,51
深圳,美食,家常菜,茂芝家常小炒,
深圳,美食,家常菜,客家情·客家菜(宝立方中心店),61
深圳,美食,家常菜,家乡味湘菜馆(泰阳硅谷公寓店),
深圳,美食,家常菜,家常菜馆,51
深圳,美食,家常菜,湖南新化家常菜,
深圳,美食,家常菜,沁湘苑(湖南土菜),
深圳,美食,家常菜,聚香缘家常菜(教育新村店),
深圳,美食,家常菜,家常菜(鹏达路店),51
深圳,美食,家常菜,豫乡缘家常菜馆,
深圳,美食,家常菜,利晨家常菜馆(南头中学教师楼店),51
深圳,美食,家常菜,黄记家常菜,51
深圳,美食,家常菜,西充家常菜馆,51
深圳,美食,家常菜,益旺家常菜馆,
深圳,美食,家常菜,龍雨堂粤菜食府(福兴大厦店),198
深圳,美食,家常菜,拾忆咖喱牛腩,
深圳,美食,家常菜,刀板香一碗饭(万丰沙井店),77
深圳,美食,家常菜,华生酒家(布吉三联店),86
深圳,美食,家常菜,川湘家常菜(福新南路店),26
深圳,美食,家常菜,侠姐家常菜,51
深圳,美食,家常菜,本地仔特色菜,
深圳,美食,家常菜,阿超家常菜(平湖白泥坑店),51
深圳,美食,家常菜,顺德旺记酒楼(五和店),72
深圳,美食,家常菜,渭北家常菜(马安山西区店),51
深圳,美食,家常菜,熊姨·家常菜,51
深圳,美食,家常菜,味之园家常菜(东坑购物广场店),
深圳,美食,家常菜,老田家常菜,51
深圳,美食,家常菜,锦味坊,
深圳,美食,家常菜,金牌排骨饭·茄子煲,
深圳,美食,家常菜,渝家川菜馆,36
深圳,美食,家常菜,湘当有饭,
深圳,美食,家常菜,梅州客家餐厅,
深圳,美食,家常菜,农竹记湖南扣肉米粉小炒,
深圳,美食,家常菜,川湘家常菜,26
深圳,美食,家常菜,川湘家常菜(新河街店),26
深圳,美食,家常菜,简餐小炒,
深圳,美食,家常菜,老家乡家常菜(牛始埔路店),
深圳,美食,家常菜,茗轩家常菜(太白路店),47
深圳,美食,家常菜,张古佬·家常广东菜,93
深圳,美食,家常菜,壹点快炒·鲜菜现炒(钧濠店),18
深圳,美食,家常菜,稻锅气·湖南家常菜(公明店),31
深圳,美食,家常菜,萍安聚饭馆,
深圳,美食,家常菜,好味来家常菜馆(宝石一路店),
深圳,美食,家常菜,瑞香家厨(庆展花园店),62
深圳,美食,家常菜,金三角鹅庄粤菜·焖鹅·羊肉煲(南新路店),73
深圳,美食,家常菜,幸记•粤菜小厨•喜乐家宴•包厢聚会,75
深圳,美食,家常菜,姐妹家常菜馆,45
深圳,美食,家常菜,九围饭店·粤菜特色小炒·脆皮乳鸽(南头古城店),86
深圳,美食,家常菜,宝顺府湖南菜·邵阳家厨(上塘店),67
深圳,美食,家常菜,家常菜馆,51
深圳,美食,家常菜,湘香缘家常菜(西丽店),31
深圳,美食,家常菜,老长沙家常菜(白石厦店),32
深圳,美食,家常菜,啊水饭店,
深圳,美食,家常菜,常湘思家常小吃,
深圳,美食,家常菜,粤广园小炒,
深圳,美食,家常菜,老长沙家常菜(新高路店),32
